station_id, station_name, line, interchange_avl, interchange_id, interchange_desc, station_layout, order, interchanging_station_id, segment_id, split
207, Samaypur Badli, Yellow, 0, 0, , Elevated, 1, 0, Yellow_Main, 0
203, Rohini Sector 18_19, Yellow, 0, 0, , Elevated, 2, 0, Yellow_Main, 0
65, Haiderpur Badli Mor, Yellow, 0, 0, , Elevated, 3, 0, Yellow_Main, 0
79, Jahangirpuri, Yellow, 0, 0, , Elevated, 4, 0, Yellow_Main, 0
2, Adarsh Nagar, Yellow, 0, 0, , Elevated, 5, 0, Yellow_Main, 0
10, Azadpur, Yellow, 1, 2, Yellow-Pink, Elevated, 6, 10-11, Yellow_Main, 0
136, Model Town, Yellow, 0, 0, , Elevated, 7, 0, Yellow_Main, 0
55, GTB Nagar, Yellow, 0, 0, , Underground, 8, 0, Yellow_Main, 0
252, Vishwa Vidyalaya, Yellow, 0, 0, , Underground, 9, 0, Yellow_Main, 0
250, Vidhan Sabha, Yellow, 0, 0, , Underground, 10, 0, Yellow_Main, 0
27, Civil Lines, Yellow, 0, 0, , Underground, 11, 0, Yellow_Main, 0
104, Kashmere Gate, Yellow, 1, 10, Yellow-Red-Violet, Underground, 12, 103-104-105, Yellow_Main, 0
23, Chandni Chowk, Yellow, 0, 0, , Underground, 13, 0, Yellow_Main, 0
24, Chawri Bazar, Yellow, 0, 0, , Underground, 14, 0, Yellow_Main, 0
157, New Delhi, Yellow, 1, 15, Yellow-Airport Express, Underground, 15, 157-158 , Yellow_Main, 0
195, Rajiv Chowk, Yellow, 1, 17, Yellow-Blue, Underground, 16, 195-196 , Yellow_Main, 0
179, Patel Chowk, Yellow, 0, 0, , Underground, 17, 0, Yellow_Main, 0
21, Central Secretariat, Yellow, 1, 4, Yellow-Violet, Underground, 18, 21-22 , Yellow_Main, 0
44, Udyog Bhawan, Yellow, 0, 0, , Underground, 19, 0, Yellow_Main, 0
118, Lok Kalyan Marg, Yellow, 0, 0, , Underground, 20, 0, Yellow_Main, 0
